COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;145;0.46;66;79;38;102;5;
28005;Alcala  de Henares;141332;1425;1.01;808;617;377;737;311;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;107;0.19;48;59;22;78;7;
28049;Coslada;19304;271;1.4;188;83;73;100;98;
28053;Daganzo de Arriba;68940;51;0.07;15;36;12;37;2;
28057;Fresno de Torote;50796;24;0.05;18;6;4;18;2;
28075;Loeches;70896;354;0.5;139;215;75;259;20;
28083;Meco;55888;150;0.27;89;61;31;74;45;
28084;Mejorada del Campo;28708;273;0.95;144;129;69;191;13;
28104;Paracuellos de Jarama;70108;883;1.26;379;504;193;656;34;
28130;San Fernando de Henares;62072;896;1.44;448;448;235;578;83;
28136;Santorcaz;45184;32;0.07;18;14;7;24;1;
28137;Santos de la Humosa, Los;55876;121;0.22;52;69;26;88;7;
28148;Torrejon de Ardoz;51936;1445;2.78;712;733;387;970;88;
28154;Torres de la Alameda;69520;260;0.37;122;138;69;180;11;
28156;Valdeavero;29956;3;0.01;1;2;1;2;0;
28172;Villalbilla;55264;560;1.01;253;307;131;406;23;
