COD_MUN; NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564; 38;0.12;15;23;9;26;3;
28005;Alcala  de Henares;141332; 441;0.31;191;250;94;245;102;
28012;Anchuelo;34768; 0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296; 26;0.05;7;19;5;21;0;
28049;Coslada;19304; 85;0.44;51;34;8;36;41;
28053;Daganzo de Arriba;68940; 10;0.01;0;10;0;10;0;
28057;Fresno de Torote;50796; 6;0.01;3;3;3;3;0;
28075;Loeches;70896; 88;0.12;21;67;5;77;6;
28083;Meco;55888; 45;0.08;31;14;4;14;27;
28084;Mejorada del Campo;28708; 53;0.18;15;38;15;37;1;
28104;Paracuellos de Jarama;70108; 220;0.31;58;162;70;146;4;
28130;San Fernando de Henares;62072; 223;0.36;59;164;70;148;5;
28136;Santorcaz;45184; 7;0.02;0;7;0;7;0;
28137;Santos de la Humosa, Los;55876; 32;0.06;16;16;3;25;4;
28148;Torrejon de Ardoz;51936; 319;0.61;87;232;108;195;16;
28154;Torres de la Alameda;69520; 60;0.09;13;47;23;37;0;
28156;Valdeavero;29956; 1;0;0;1;1;0;0;
28172;Villalbilla;55264; 149;0.27;36;113;34;113;2;
COD_MUN;NOM_MUN;TOTAL_PIX;SELECTED_PIX;PERCENTAGE_SELECTED;NUM_MULTI;NUM_UNI;NUM_EST_ALTO;NUM_EST_MEDIO;NUM_EST_BAJO
28002;Ajalvir;31564;80;0.25;33;47;7;63;10;
28005;Alcala  de Henares;141332;928;0.66;405;523;174;566;188;
28012;Anchuelo;34768;0;0;0;0;0;0;0;
28032;Camarma de Esteruelas;56296;48;0.09;20;28;14;32;2;
28049;Coslada;19304;173;0.9;100;73;14;98;61;
28053;Daganzo de Arriba;68940;31;0.04;14;17;1;26;4;
28057;Fresno de Torote;50796;4;0.01;2;2;1;3;0;
28075;Loeches;70896;184;0.26;74;110;10;159;15;
28083;Meco;55888;77;0.14;55;22;9;28;40;
28084;Mejorada del Campo;28708;130;0.45;35;95;43;84;3;
28104;Paracuellos de Jarama;70108;464;0.66;187;277;120;323;21;
28130;San Fernando de Henares;62072;582;0.94;208;374;151;389;42;
28136;Santorcaz;45184;15;0.03;6;9;1;13;1;
28137;Santos de la Humosa, Los;55876;54;0.1;21;33;3;47;4;
28148;Torrejon de Ardoz;51936;747;1.44;265;482;219;467;61;
28154;Torres de la Alameda;69520;149;0.21;47;102;34;109;6;
28156;Valdeavero;29956;0;0;0;0;0;0;0;
28172;Villalbilla;55264;334;0.6;128;206;79;233;22;
